plate;country;page;year;exports;imports;balance
Plate I;England;23;1700;4550;6300;1950
Plate I;England;23;1710;4900;7000;2100
Plate I;England;23;1720;5350;8600;3350
Plate I;England;23;1730;7500;10900;3400
Plate I;England;23;1740;7550;12000;4450
Plate I;England;23;1750;7250;12650;5400
Plate I;England;23;1760;10300;14250;3950
Plate I;England;23;1770;11650;16300;4650
Plate I;England;23;1780;10750;12400;1650
Plate II;Ireland;23;1700;270;240;30
Plate II;Ireland;23;1710;300;270;30
Plate II;Ireland;23;1720;335;370;35
Plate II;Ireland;23;1730;340;600;260
Plate II;Ireland;23;1740;475;760;285
Plate II;Ireland;23;1750;660;950;290
Plate II;Ireland;23;1760;870;1450;580
Plate II;Ireland;23;1770;1230;1870;640
Plate II;Ireland;23;1780;1470;1890;420
Plate III;Germany;23;1700;575;995;420
Plate III;Germany;23;1710;610;895;285
Plate III;Germany;23;1720;620;1000;380
Plate III;Germany;23;1730;680;1105;425
Plate III;Germany;23;1740;700;1155;455
Plate III;Germany;23;1750;715;1405;690
Plate III;Germany;23;1760;705;1615;910
Plate III;Germany;23;1770;680;1820;1140
Plate III;Germany;23;1780;670;1240;570
Plate IV;West Indies;23;1700;580;305;285
Plate IV;West Indies;23;1710;750;335;425
Plate IV;West Indies;23;1720;1060;435;625
Plate IV;West Indies;23;1730;1260;450;810
Plate IV;West Indies;23;1740;1290;515;775
Plate IV;West Indies;23;1750;1460;770;690
Plate IV;West Indies;23;1760;2105;865;1240
Plate IV;West Indies;23;1770;2995;1190;1805
Plate IV;West Indies;23;1780;2210;1220;990
Plate V;North America;24;1770;1480;4550;3070
Plate V;North America;24;1771;1430;4630;3200
Plate V;North America;24;1772;1445;3600;2155
Plate V;North America;24;1773;1465;2465;1000
Plate V;North America;24;1774;1435;3840;2300
Plate V;North America;24;1775;2065;985;1080
Plate V;North America;24;1776;245;1190;945
Plate V;North America;24;1777;230;1880;1650
Plate V;North America;24;1778;265;1150;885
Plate V;North America;24;1779;295;1370;1075
Plate V;North America;24;1780;300;1805;1505
Plate V;North America;24;1781;385;1545;1160
Plate V;North America;24;1782;295;905;610
Plate VI;England for 12 Years: 1771 to 1782;59;1771;12800;17150;4350
Plate VI;England for 12 Years: 1771 to 1782;59;1772;13300;16150;2850
Plate VI;England for 12 Years: 1771 to 1782;59;1773;11400;14750;3350
Plate VI;England for 12 Years: 1771 to 1782;59;1774;13250;15900;2650
Plate VI;England for 12 Years: 1771 to 1782;59;1775;13550;15200;1650
Plate VI;England for 12 Years: 1771 to 1782;59;1776;11700;13700;2000
Plate VI;England for 12 Years: 1771 to 1782;59;1777;11850;12650;800
Plate VI;England for 12 Years: 1771 to 1782;59;1778;10250;11550;1300
Plate VI;England for 12 Years: 1771 to 1782;59;1779;10650;12650;2000
Plate VI;England for 12 Years: 1771 to 1782;59;1780;10750;12550;1800
Plate VI;England for 12 Years: 1771 to 1782;59;1781;11900;10550;1350
Plate VI;England for 12 Years: 1771 to 1782;59;1782;9500;12350;2805
Plate VII;East Indies;59;1700;440;140;300
Plate VII;East Indies;59;1710;595;95;500
Plate VII;East Indies;59;1720;880;120;760
Plate VII;East Indies;59;1730;965;145;820
Plate VII;East Indies;59;1740;970;360;610
Plate VII;East Indies;59;1750;930;700;230
Plate VII;East Indies;59;1760;1005;880;125
Plate VII;East Indies;59;1770;1515;1330;185
